EnsemblID,Treatment1,Treatment2,Treatment3,Control1,Control2,Control3,Sham1,Sham2,Sham3
ENSMUSG00000069516,2175785,2322469,2418553,861714,1092101,1107639,2390553,2310649,2196924
ENSMUSG00000004207,1118662,1230555,1260050,174536,327185,191999,967965,921913,923420
ENSMUSG00000007891,1014870,1074583,1121687,231326,378159,290183,1015807,961461,955261
ENSMUSG00000038642,1058735,1071841,1220170,314017,442926,435076,789921,829584,775786
ENSMUSG00000024661,1139155,1211558,1229603,530241,247469,473234,659887,602955,631982
ENSMUSG00000040809,310798,330899,355548,810140,962990,1016352,982306,962222,900909
ENSMUSG00000050708,509602,541571,516515,171547,140293,171873,474418,442405,455758
ENSMUSG00000029580,369798,359516,378000,613190,271556,369604,344705,317154,321343
ENSMUSG00000018927,271520,277894,324848,221272,279138,271220,451223,493487,455537
ENSMUSG00000037742,298288,317802,349563,208073,379109,301997,340435,325763,320346
ENSMUSG00000002985,699039,701489,734328,5216,5039,4897,128596,118388,125783
ENSMUSG00000049775,185693,199355,212211,394239,181542,308684,169437,165369,156763
ENSMUSG00000064351,164330,183367,184738,367699,280145,308414,169226,158202,149937
ENSMUSG00000064370,155241,166360,176414,409642,198871,351907,145683,139285,132159
ENSMUSG00000030342,126300,134395,147942,209603,227543,242578,261593,268420,248477
ENSMUSG00000021939,328139,326583,341273,54138,77961,69338,205580,192659,180352
ENSMUSG00000015568,123240,127881,141596,131005,124555,117220,248277,244233,221478
ENSMUSG00000073411,220068,227557,237881,60159,88132,81998,171648,159349,165135
ENSMUSG00000026728,151095,161372,160149,146294,162849,190975,141749,129317,130210
ENSMUSG00000028581,127926,128787,148883,116007,144897,115586,188071,201611,195120
ENSMUSG00000046805,137353,149283,162369,63937,114388,79436,207301,206881,189024
ENSMUSG00000015340,116637,125706,135250,62409,115150,84499,213513,210015,195828
ENSMUSG00000029304,205512,216148,227648,14937,16045,19448,125412,118742,112009
ENSMUSG00000060802,130446,141456,152221,68673,65644,78488,141625,140854,133726
ENSMUSG00000000290,104124,112191,117420,53489,110527,78564,158258,149240,143682
ENSMUSG00000079293,73210,72155,89469,61597,101822,76184,168790,182377,164009
ENSMUSG00000064341,84568,90534,98937,211194,88890,141503,89244,89795,81733
ENSMUSG00000022108,117783,120455,133371,70144,88562,82946,118148,123665,110729
ENSMUSG00000005087,67469,73499,75809,101885,146815,120547,130273,126510,117290
ENSMUSG00000029816,169856,166179,190666,12059,17406,14716,120889,112959,112033
ENSMUSG00000016256,124633,120559,137430,34965,56739,45280,114243,108162,109493
ENSMUSG00000034708,120231,127770,131763,38595,46863,41997,103614,94436,97482
ENSMUSG00000031447,104023,109232,116628,51289,50152,53768,101414,98788,101398
ENSMUSG00000064345,59422,64209,71763,131150,95250,142303,73399,73712,63815
ENSMUSG00000030560,78750,85316,93705,57283,93275,72234,90602,90048,84293
ENSMUSG00000028692,78910,77220,87050,51607,65505,57571,110126,107111,105614
ENSMUSG00000028691,94926,93441,107154,46247,31568,36522,108375,112769,108970
ENSMUSG00000023349,84443,83414,102203,30373,43535,35223,115746,122564,112484
ENSMUSG00000022892,62158,66569,69721,54328,90008,71553,98446,101718,92782
ENSMUSG00000064363,49193,53541,56516,173232,84557,120900,54449,52485,47889
ENSMUSG00000025351,113775,109779,130611,5512,12033,8317,100570,107316,102730
ENSMUSG00000024610,163800,181098,177266,20769,23039,28042,31299,28933,30158
ENSMUSG00000019970,62400,71172,71610,83261,76975,77002,79579,74854,72210
ENSMUSG00000030744,70459,67876,80399,61900,77329,74422,76241,75947,76182
ENSMUSG00000061232,95105,100749,102588,26852,37511,34636,84352,77482,80421
ENSMUSG00000064339,68564,83402,55029,147426,52825,79869,48619,61375,42515
ENSMUSG00000023944,64200,68414,68777,67712,88366,67719,71482,68906,66380
ENSMUSG00000028249,58156,60117,69545,47337,62931,55050,92662,96227,87052
ENSMUSG00000006519,83264,79080,91653,31958,39235,40530,84555,88206,89714
ENSMUSG00000072596,20370,20670,22742,115122,92136,129242,70284,67838,64057
ENSMUSG00000021250,63163,68366,68544,93250,93034,94757,40619,39120,36406
ENSMUSG00000033685,71562,78905,74504,40127,56382,68772,65563,57210,62478
ENSMUSG00000019818,21521,23138,25376,64623,112730,85301,81936,83923,75770
ENSMUSG00000021998,55225,61559,62605,55763,69590,60193,70935,66254,65735
ENSMUSG00000034994,74702,83780,81497,26975,55333,32560,69916,68260,71539
ENSMUSG00000007892,63440,62611,68974,69374,48941,59682,60977,61269,60902
ENSMUSG00000029622,78019,77485,81771,25381,42978,35986,71071,68215,70857
ENSMUSG00000032231,31612,32592,34228,76493,88293,97103,65098,60944,61557
ENSMUSG00000027712,52965,53403,60416,37431,59253,50665,68720,67773,66627
ENSMUSG00000030695,53732,53360,58371,42254,50253,44340,70706,68043,67924
